CNES - Recursos Humanos - Ocupações - segundo CBO 2002 - Brasil
Total por Município e Ano/mês compet.
Profissionais selecionados: .. Clínico Geral
Período:Dez/2007, Dez/2008, Dez/2009, Dez/2010, Dez/2011, Dez/2012, Dez/2013, Dez/2014, Nov/2015, Dez/2016, Dez/2017, Dez/2018, Dez/2019, Dez/2020
"Município";"2007/Dez";"2008/Dez";"2009/Dez";"2010/Dez";"2011/Dez";"2012/Dez";"2013/Dez";"2014/Dez";"2015/Nov";"2016/Dez";"2017/Dez";"2018/Dez";"2019/Dez";"2020/Dez"
"312610 Formiga";46;47;59;71;70;77;76;80;74;94;114;105;118;157
"312620 Formoso";3;2;1;2;2;2;2;2;2;1;2;1;1;3
"312630 Fortaleza de Minas";6;6;6;6;6;5;6;5;4;7;6;6;6;9
"312640 Fortuna de Minas";-;-;-;-;-;2;2;2;2;2;2;2;2;4
"312650 Francisco Badaró";5;6;5;4;3;5;5;4;6;3;5;2;3;3
"312660 Francisco Dumont";2;3;1;2;1;1;2;2;1;-;-;-;-;-
"312670 Francisco Sá";11;12;10;10;16;16;19;22;18;11;10;15;25;30
"312675 Franciscópolis";-;-;-;-;-;1;1;3;-;-;-;1;-;2
"312680 Frei Gaspar";1;-;2;2;1;1;-;-;-;-;-;-;-;2
"312690 Frei Inocêncio";5;5;5;11;9;7;7;5;6;5;6;6;7;7
"312695 Frei Lagonegro";-;-;-;-;-;-;-;2;2;-;-;-;-;1
"312700 Fronteira";7;7;6;6;7;9;9;9;8;8;12;10;8;8
"312705 Fronteira dos Vales";-;-;-;-;-;-;-;-;-;-;-;-;1;1
"312707 Fruta de Leite";3;-;-;1;1;1;-;-;-;-;-;-;-;2
"312710 Frutal";67;53;76;76;72;72;68;76;77;82;89;90;110;97
"312720 Funilândia";5;4;4;5;5;4;5;7;6;5;3;1;1;1
"312730 Galiléia";6;4;3;4;4;3;3;3;3;2;4;2;2;-
"312733 Gameleiras";1;1;-;1;1;1;1;1;1;1;2;2;2;4
"312735 Glaucilândia";-;-;-;1;2;2;1;2;2;2;3;2;3;2
"312737 Goiabeira";-;-;-;-;-;1;3;3;2;-;1;2;2;3
"312738 Goianá";3;3;3;5;5;4;2;4;2;1;2;4;4;4
"312740 Gonçalves";3;4;4;3;3;3;4;1;1;1;1;1;1;1
"312750 Gonzaga";-;-;1;1;2;2;2;2;1;1;1;1;1;4
"312760 Gouveia";11;11;10;12;13;7;10;10;9;8;6;7;10;6
"312770 Governador Valadares";150;284;320;291;291;189;199;203;244;264;328;375;430;483
"312780 Grão Mogol";5;5;6;4;4;4;3;4;5;7;5;5;8;9
"312790 Grupiara";-;-;-;1;1;1;1;1;1;1;1;1;1;2
"312800 Guanhães";38;30;31;26;31;38;42;40;37;37;30;41;38;47
"312810 Guapé";10;5;4;2;3;2;5;5;6;5;6;6;6;7
"312820 Guaraciaba";3;3;2;2;3;4;5;5;5;5;4;11;13;10
"312825 Guaraciama";3;2;1;1;2;2;1;2;2;2;3;3;2;3
"312830 Guaranésia";13;13;16;17;18;16;15;18;19;22;22;29;25;27
"312840 Guarani";11;10;13;12;13;13;11;13;13;14;14;13;11;10
"312850 Guarará";3;2;2;7;6;5;4;3;3;2;3;3;3;3
"312860 Guarda-Mor";4;3;3;4;4;6;10;12;11;10;10;9;15;19
"312870 Guaxupé";19;24;68;73;81;85;87;92;94;91;93;96;107;112
"312880 Guidoval";1;1;1;3;3;3;2;2;1;1;-;-;-;2
"312890 Guimarânia";1;1;1;2;2;-;1;1;1;1;1;1;1;2
"312900 Guiricema";4;3;3;2;2;1;6;7;8;5;5;4;3;6
"312910 Gurinhatã";2;3;4;5;4;5;5;6;6;5;6;6;6;6
"312920 Heliodora";4;11;14;14;2;2;2;2;1;1;1;1;1;1
"312930 Iapu";-;-;1;1;-;-;1;-;1;2;1;-;-;1
"312940 Ibertioga";7;7;7;9;11;11;22;20;16;23;30;13;13;19
"312950 Ibiá";9;9;15;13;11;13;11;14;13;15;11;10;15;23
"312960 Ibiaí";4;1;1;2;1;1;1;1;1;1;1;1;1;1
"312965 Ibiracatu";1;-;1;-;1;1;1;1;-;1;1;1;1;1
"312970 Ibiraci";9;12;12;12;11;10;12;14;13;8;10;8;12;17
"312980 Ibirité";66;51;52;49;47;76;88;82;112;108;131;110;112;62
"312990 Ibitiúra de Minas";2;2;2;2;2;2;2;2;2;2;2;1;1;3
"313000 Ibituruna";1;2;2;2;2;2;2;2;2;2;2;2;1;1
"313005 Icaraí de Minas";4;2;3;4;1;1;2;5;3;3;2;3;4;3
"313010 Igarapé";22;22;19;18;18;12;12;8;12;16;13;23;30;41
"313020 Igaratinga";8;8;6;7;3;3;3;10;9;6;10;11;10;9
"313030 Iguatama";6;4;5;7;5;5;5;6;5;6;7;6;8;8
"313040 Ijaci";1;1;4;3;3;2;2;2;2;2;4;4;4;4
"313050 Ilicínea";8;8;10;11;10;12;8;12;10;9;9;12;13;12
"313055 Imbé de Minas";1;1;1;1;1;1;1;1;2;2;2;2;2;3
"313060 Inconfidentes";2;2;2;2;2;2;2;1;1;1;2;2;2;2
"313065 Indaiabira";-;-;2;2;4;4;3;3;2;2;2;4;1;5
"313070 Indianópolis";7;11;10;12;9;7;6;3;4;3;5;7;9;12
"313080 Ingaí";2;1;2;2;2;2;3;3;2;2;2;2;-;1
"313090 Inhapim";22;17;18;19;12;14;24;27;24;29;20;22;22;30
"313100 Inhaúma";9;6;9;5;4;4;8;6;7;8;4;2;2;3
"313110 Inimutaba";1;1;1;1;1;1;1;2;2;2;2;2;1;5
"313115 Ipaba";5;5;5;5;2;2;1;5;7;5;8;4;8;9
"313120 Ipanema";18;18;24;21;18;18;21;19;19;22;24;29;30;31
"313130 Ipatinga";151;214;338;344;315;340;433;531;581;588;633;617;652;709
"313140 Ipiaçu";3;5;5;3;4;4;1;1;1;1;1;1;1;1
"313150 Ipuiúna";8;8;8;9;9;10;8;12;11;11;10;12;13;14
"313160 Iraí de Minas";6;5;9;6;5;5;3;3;3;2;4;3;3;3
"313170 Itabira";178;229;267;182;206;241;267;290;260;297;331;387;422;463
"313180 Itabirinha";8;5;5;3;6;5;6;7;10;7;9;8;9;10
"313190 Itabirito";30;59;71;82;75;47;59;72;67;72;70;66;73;76
"313200 Itacambira";-;-;-;1;1;1;1;2;2;2;-;1;2;3
"313210 Itacarambi";9;10;14;9;7;7;13;13;12;10;10;9;10;10
"313220 Itaguara";12;11;10;11;9;9;10;9;9;10;11;12;12;15
"313230 Itaipé";6;3;5;6;6;6;7;6;9;4;8;7;6;8
"313240 Itajubá";122;162;178;159;141;142;154;171;179;175;196;217;241;248
"313250 Itamarandiba";19;20;14;13;13;11;18;21;29;26;30;22;21;19
"313260 Itamarati de Minas";3;3;3;4;3;2;2;2;2;2;2;2;1;1
"313270 Itambacuri";24;24;18;22;23;29;24;25;32;28;25;28;29;28
"313280 Itambé do Mato Dentro";-;-;-;-;-;-;-;-;-;1;1;1;-;2
"313290 Itamogi";18;16;18;19;22;21;18;14;13;11;10;11;14;17
"313300 Itamonte";10;11;12;9;9;8;6;8;8;8;8;9;10;10
"313310 Itanhandu";10;15;14;16;15;14;18;18;16;17;17;19;20;20
"313320 Itanhomi";12;13;12;15;10;17;13;8;8;6;7;9;9;12
"313330 Itaobim";16;19;15;18;13;14;20;21;22;26;25;24;37;36
"313340 Itapagipe";11;8;7;7;5;7;8;5;6;6;10;16;17;29
"313350 Itapecerica";13;16;17;16;15;16;15;16;16;16;21;23;22;21
"313360 Itapeva";3;2;2;3;4;3;3;3;3;3;3;4;4;7
"313370 Itatiaiuçu";10;17;13;11;14;13;12;11;8;11;11;8;13;11
"313375 Itaú de Minas";24;22;23;26;27;27;25;21;21;30;28;19;25;27
"313380 Itaúna";61;118;123;141;113;112;111;125;126;144;152;172;172;145
"313390 Itaverava";2;3;-;-;-;-;1;2;1;1;-;-;1;1
"313400 Itinga";5;4;5;3;1;1;2;2;2;5;4;4;4;4
"313410 Itueta";1;1;1;3;3;3;1;1;1;1;1;1;1;3
"313420 Ituiutaba";73;97;112;112;115;110;114;115;121;133;147;150;145;170
"313430 Itumirim";4;3;6;6;6;6;2;3;3;4;8;6;4;5
"313440 Iturama";34;33;34;37;35;40;34;37;40;48;48;53;48;58
"313450 Itutinga";3;2;2;2;1;4;4;4;4;1;2;2;2;1
"313460 Jaboticatubas";10;10;8;6;7;7;8;10;10;9;7;7;5;11
"313470 Jacinto";2;2;4;4;3;3;4;3;4;4;4;4;5;7
"313480 Jacuí";8;7;7;7;7;7;8;10;6;6;6;5;7;7
"313490 Jacutinga";25;33;34;35;39;39;38;38;39;32;31;32;31;32
"313500 Jaguaraçu";-;-;-;-;1;1;1;2;1;1;1;2;2;2
"313505 Jaíba";10;7;8;7;6;6;8;10;8;10;14;19;22;27
"313507 Jampruca";1;1;1;-;-;-;-;-;-;-;-;-;-;-
"313510 Janaúba";13;25;25;25;27;40;51;55;80;99;120;97;84;101
"313520 Januária";17;20;24;30;17;17;29;38;40;37;46;58;45;49
"313530 Japaraíba";-;-;-;-;1;1;2;2;2;2;3;3;2;2
"313535 Japonvar";1;2;3;4;2;2;5;4;3;3;1;1;1;1
"313540 Jeceaba";5;3;7;9;6;8;10;8;16;17;10;16;19;20
"313545 Jenipapo de Minas";1;1;1;1;1;1;1;-;-;1;1;3;3;4
"313550 Jequeri";7;7;5;7;6;6;4;4;4;4;4;3;3;4
"313560 Jequitaí";1;1;3;2;3;2;2;2;2;1;3;3;3;3
"313570 Jequitibá";1;2;2;2;2;3;5;4;3;3;5;5;5;6
"313580 Jequitinhonha";6;9;6;7;7;7;7;9;11;10;12;11;10;11
"313590 Jesuânia";2;2;2;2;2;2;2;2;2;2;3;3;2;3
"313600 Joaíma";6;4;5;5;4;3;6;2;2;5;6;8;7;6
"313610 Joanésia";-;-;-;-;-;-;-;-;-;-;-;-;-;1
"313620 João Monlevade";131;142;136;125;111;86;113;117;139;153;168;175;198;210
"313630 João Pinheiro";29;34;37;32;22;17;22;22;20;25;28;30;39;51
"313640 Joaquim Felício";2;4;4;5;5;5;2;2;2;2;2;2;2;2
"313650 Jordânia";5;7;5;6;6;7;6;5;6;6;6;7;4;5
"313652 José Gonçalves de Minas";2;2;2;2;2;2;2;-;1;1;1;1;2;2
"313655 José Raydan";1;1;1;-;-;-;-;-;-;-;-;-;-;2
"313657 Josenópolis";1;1;1;2;2;2;2;1;-;-;-;-;-;1
"313665 Juatuba";18;22;15;22;24;12;17;19;14;13;17;15;14;20
"313670 Juiz de Fora";765;873;938;1012;938;1046;1099;1223;1168;1310;1456;1527;1562;1612
"313680 Juramento";3;5;-;-;1;1;2;2;-;-;-;-;-;1
"313690 Juruaia";11;8;9;9;10;10;9;9;13;10;17;14;15;14
"313695 Juvenília";4;1;1;1;1;-;-;-;-;-;-;-;-;3
"313700 Ladainha";4;3;4;2;4;6;4;8;11;9;10;12;10;11
"313710 Lagamar";4;6;3;4;5;3;4;3;3;5;6;7;5;5
"313720 Lagoa da Prata";29;34;36;42;42;38;40;40;35;55;51;74;69;80
"313730 Lagoa dos Patos";3;3;3;2;2;2;2;2;2;2;2;2;2;3
"313740 Lagoa Dourada";4;3;3;2;2;2;3;3;1;3;3;6;5;5
"313750 Lagoa Formosa";8;7;8;13;9;13;9;11;22;26;26;11;12;24
"313753 Lagoa Grande";-;-;1;1;2;1;1;1;1;1;2;4;2;3
"313760 Lagoa Santa";21;20;25;24;12;16;17;24;26;75;61;60;66;86
"313770 Lajinha";26;25;20;19;18;17;14;21;15;16;19;20;21;22
"313780 Lambari";20;23;24;25;23;24;24;24;24;25;27;25;25;25
"313790 Lamim";1;1;3;4;2;3;4;2;4;4;1;4;2;2
"313800 Laranjal";6;8;14;16;10;11;11;11;9;7;10;6;7;6
"313810 Lassance";3;3;2;4;6;3;4;4;4;2;4;3;2;2
"313820 Lavras";112;159;273;282;204;219;207;198;212;242;296;242;227;267
"313830 Leandro Ferreira";1;1;1;2;1;1;1;1;1;1;1;1;1;2
"313835 Leme do Prado";1;1;-;-;-;-;-;-;-;-;-;-;-;-
"313840 Leopoldina";45;61;65;70;68;68;69;77;77;70;75;75;75;66
"313850 Liberdade";6;5;4;8;10;9;10;2;3;3;6;6;2;5
"313860 Lima Duarte";15;16;13;22;16;17;17;28;21;28;29;29;31;27
"313862 Limeira do Oeste";1;1;1;1;1;1;1;2;3;3;5;3;10;10
"313865 Lontra";5;3;3;3;2;2;-;-;-;-;-;1;2;3
"313867 Luisburgo";1;1;1;1;1;1;1;1;2;1;4;3;1;1
"313868 Luislândia";1;1;-;1;2;-;-;-;-;-;-;-;-;-
"313870 Luminárias";1;1;2;2;2;2;3;5;3;3;2;3;2;5
"313880 Luz";14;17;20;24;24;26;22;22;22;19;25;24;22;20
"313890 Machacalis";5;5;6;3;4;4;5;5;4;4;5;5;6;7
"313900 Machado";60;59;61;61;55;61;58;64;81;70;70;79;92;76
"313910 Madre de Deus de Minas";-;-;-;-;-;-;-;1;1;1;-;-;1;1
"313920 Malacacheta";19;14;19;15;15;14;13;14;12;9;8;9;9;11
"313925 Mamonas";1;1;1;2;2;2;2;2;2;1;6;7;7;4
"313930 Manga";10;13;17;18;3;3;4;4;6;9;9;10;11;19
"313940 Manhuaçu";45;44;72;79;81;92;95;98;112;112;118;133;149;165
"313950 Manhumirim";20;19;25;29;23;24;26;26;17;23;26;25;27;29
"313960 Mantena";41;39;37;35;28;26;26;32;31;32;31;36;39;39
"313980 Mar de Espanha";13;13;14;15;15;13;17;18;16;13;12;13;16;16
"313970 Maravilhas";3;8;9;8;8;8;8;7;7;5;5;4;4;4
"313990 Maria da Fé";9;11;10;10;9;9;8;9;8;7;10;9;10;12
"314000 Mariana";62;91;99;89;88;93;112;153;107;121;116;115;113;112
"314010 Marilac";-;-;-;-;-;-;-;-;-;1;1;-;-;-
"314015 Mário Campos";12;13;7;6;8;6;4;7;3;2;8;4;1;1
"314020 Maripá de Minas";8;7;2;3;2;2;2;4;3;5;6;4;6;4
"314030 Marliéria";1;-;3;4;3;3;4;3;3;1;3;2;2;2
"314040 Marmelópolis";1;1;1;1;1;1;1;1;1;1;1;1;1;1
"314050 Martinho Campos";7;6;8;10;9;9;8;7;9;9;9;10;11;11
"314053 Martins Soares";-;-;-;1;-;-;1;1;1;1;1;1;1;1
"314055 Mata Verde";1;2;-;-;2;2;2;1;1;1;2;1;1;1
"314060 Materlândia";2;2;1;1;1;1;1;2;2;2;2;1;1;1
"314070 Mateus Leme";55;98;139;60;81;80;95;92;111;94;102;88;71;81
"317150 Mathias Lobato";-;-;1;1;1;1;1;1;1;1;1;-;1;1
"314080 Matias Barbosa";7;7;7;7;7;6;5;6;3;2;6;9;9;11
"314085 Matias Cardoso";3;3;5;7;5;5;3;3;3;3;2;2;2;2
"314090 Matipó";18;20;18;19;24;22;20;16;17;17;14;15;11;15
"314100 Mato Verde";1;1;4;4;3;2;4;2;1;4;2;3;4;6
"314110 Matozinhos";30;37;40;40;24;26;13;17;26;37;37;39;41;40
"314120 Matutina";5;6;4;5;5;2;2;2;2;2;2;2;2;2
"314130 Medeiros";1;1;1;4;2;3;1;2;2;2;1;1;1;1
"314140 Medina";8;5;15;19;14;16;16;18;20;23;33;21;23;32
"314150 Mendes Pimentel";8;6;7;5;5;4;3;4;3;3;3;3;3;2
"314160 Mercês";17;13;14;15;20;20;22;21;20;23;24;27;21;19
"314170 Mesquita";1;1;-;1;2;1;1;1;1;1;1;1;1;-
"314180 Minas Novas";11;12;14;12;12;12;13;16;18;19;22;19;22;27
"314190 Minduri";8;8;10;10;8;6;7;8;9;7;6;6;9;9
"314200 Mirabela";7;7;7;10;8;9;7;8;7;9;10;10;11;10
"314210 Miradouro";13;13;14;6;3;4;3;2;-;1;1;-;-;1
"314220 Miraí";17;15;18;16;14;14;14;14;14;14;14;16;18;18
"314225 Miravânia";-;1;1;1;1;1;1;1;1;1;1;1;1;1
"314230 Moeda";2;4;3;2;3;3;3;3;1;2;4;4;2;8
"314240 Moema";10;11;7;9;8;9;3;7;8;10;11;14;9;7
"314250 Monjolos";1;1;3;5;5;5;2;4;2;10;9;8;8;8
"314260 Monsenhor Paulo";10;8;11;12;7;7;7;7;7;7;10;11;12;12
"314270 Montalvânia";5;6;7;9;6;7;8;8;6;8;7;7;7;9
"314280 Monte Alegre de Minas";6;13;13;9;6;5;6;8;9;7;7;10;8;7
"314290 Monte Azul";5;7;3;3;7;7;7;4;5;6;8;7;13;17
"314300 Monte Belo";17;16;15;12;13;13;16;14;13;15;17;18;18;20
"314310 Monte Carmelo";42;58;61;66;55;65;58;56;53;51;50;55;61;61
"314315 Monte Formoso";1;2;5;3;3;3;3;3;3;3;4;3;2;4
"314320 Monte Santo de Minas";13;15;20;16;23;24;29;22;31;38;35;39;19;21
"314340 Monte Sião";10;11;10;10;8;8;7;8;7;9;7;8;7;7
"314330 Montes Claros";515;661;930;1026;1011;1097;1227;1431;1527;1530;1633;1648;1622;1761
"314345 Montezuma";3;2;4;5;2;3;1;1;1;2;3;4;3;5
"314350 Morada Nova de Minas";15;15;16;14;10;9;8;9;8;10;12;9;9;7
"314360 Morro da Garça";1;1;-;-;-;-;-;-;-;-;-;-;-;-
"314370 Morro do Pilar";1;3;2;1;-;-;1;2;1;1;1;-;-;-
"314380 Munhoz";2;2;2;2;2;3;3;2;1;1;1;1;1;6
"314390 Muriaé";137;138;136;146;123;124;124;143;143;161;169;173;204;266
"314400 Mutum";14;19;19;17;19;20;20;25;28;27;29;33;25;27
"314410 Muzambinho";22;25;24;26;26;28;27;29;26;23;22;19;19;21
"314420 Nacip Raydan";-;-;-;-;1;1;-;1;1;-;-;-;-;2
"314430 Nanuque";21;24;33;16;15;21;21;24;24;26;30;34;29;34
"314435 Naque";-;-;-;-;-;-;-;1;1;1;1;1;1;3
"314437 Natalândia";1;1;-;1;1;1;1;1;1;1;1;1;1;2
"314440 Natércia";3;3;4;4;6;8;3;3;3;3;3;1;2;2
"314450 Nazareno";13;7;10;7;7;6;5;5;5;6;7;7;7;7
"314460 Nepomuceno";19;19;20;19;18;18;20;20;21;19;28;28;34;33
"314465 Ninheira";2;2;2;3;3;3;3;2;5;3;3;3;3;3
"314470 Nova Era";8;9;11;13;14;14;14;17;12;11;13;12;11;15
"314480 Nova Lima";75;192;209;198;153;150;157;181;168;167;165;173;198;255
"314490 Nova Módica";2;1;-;-;1;1;1;1;1;-;-;2;-;1
"314500 Nova Ponte";17;16;25;20;15;15;12;12;11;11;11;12;19;17
"314505 Nova Porteirinha";1;-;-;1;1;1;1;1;1;1;1;2;2;6
"314510 Nova Resende";9;7;13;13;15;13;13;14;14;12;10;8;8;8
"314520 Nova Serrana";25;26;23;33;38;30;41;30;39;38;52;57;69;85
"313660 Nova União";2;2;5;5;5;4;5;3;2;3;4;3;4;5
"314530 Novo Cruzeiro";10;15;14;11;8;8;7;6;5;8;9;10;6;12
"314535 Novo Oriente de Minas";-;-;-;-;-;-;2;2;1;1;1;2;2;1
"314537 Novorizonte";-;-;-;1;1;1;1;-;-;-;-;-;-;-
"314540 Olaria";2;4;4;3;4;4;3;3;2;2;3;3;2;4
"314545 Olhos-d'Água";2;2;2;2;3;2;3;-;2;1;1;1;2;1
"314550 Olímpio Noronha";1;1;1;1;1;1;2;2;2;2;3;3;2;2
"314560 Oliveira";24;24;24;30;29;29;39;40;48;60;87;100;112;124
"314570 Oliveira Fortes";2;2;2;2;2;2;1;1;1;1;1;3;3;3
"314580 Onça de Pitangui";1;1;1;1;1;1;-;-;-;-;-;-;-;-
"314585 Oratórios";1;1;1;1;1;1;1;1;1;1;1;1;1;1
"314587 Orizânia";3;3;3;3;3;3;3;2;-;-;-;-;-;-
"314590 Ouro Branco";39;36;38;38;37;43;37;45;48;39;45;61;62;74
"314600 Ouro Fino";33;32;33;33;31;35;38;37;36;36;37;38;38;43
"314610 Ouro Preto";120;168;166;186;167;333;356;204;188;202;182;208;214;300
"314620 Ouro Verde de Minas";-;-;-;-;-;-;-;-;-;-;2;1;-;2
"314625 Padre Carvalho";-;-;-;1;1;1;1;1;-;-;-;-;-;-
"314630 Padre Paraíso";14;13;8;8;8;9;9;8;10;10;12;11;14;14
"314655 Pai Pedro";-;-;-;-;-;-;1;1;1;1;1;1;2;1
"314640 Paineiras";5;5;6;2;2;2;4;4;4;4;4;5;6;7
"314650 Pains";4;7;8;6;9;8;8;10;10;9;8;7;10;13
"314660 Paiva";1;1;1;2;2;2;1;1;1;1;1;1;1;1
"314670 Palma";8;9;9;7;7;7;7;7;6;8;8;7;7;9
"314675 Palmópolis";-;1;1;2;2;3;4;3;3;3;3;3;4;4
"314690 Papagaios";11;11;11;10;13;13;13;9;7;6;6;6;4;4
"314710 Pará de Minas";55;71;70;68;89;98;90;95;98;96;112;143;151;169
"314700 Paracatu";59;40;54;67;61;69;81;74;85;81;80;88;69;89
"314720 Paraguaçu";16;19;22;20;26;22;22;22;15;16;15;15;16;16
"314730 Paraisópolis";27;27;27;24;20;22;22;21;23;21;19;22;24;24
"314740 Paraopeba";21;17;22;17;12;5;5;6;8;22;27;28;32;28
"314760 Passa Quatro";13;14;15;14;12;12;15;16;15;15;17;16;16;19
"314770 Passa Tempo";4;7;5;5;6;6;9;11;11;9;7;6;7;6
"314780 Passa-Vinte";3;3;3;3;3;2;2;2;3;3;4;3;1;1
"314750 Passabém";5;6;2;2;1;1;2;2;2;2;3;2;1;1
"314790 Passos";73;124;158;156;164;173;179;190;180;197;209;228;234;232
"314795 Patis";2;1;1;1;1;1;1;1;-;1;-;-;1;3
"314800 Patos de Minas";76;110;148;173;207;222;214;215;213;217;225;222;266;290
"314810 Patrocínio";24;37;35;36;31;33;60;56;50;60;69;80;98;136
"314820 Patrocínio do Muriaé";16;11;4;6;7;7;8;2;3;2;2;2;2;3
"314830 Paula Cândido";3;3;3;5;6;3;4;3;3;3;4;4;6;7
"314840 Paulistas";2;2;2;1;1;1;1;1;1;1;2;2;2;2
"314850 Pavão";3;2;3;4;4;6;4;3;4;2;3;2;4;4
"314860 Peçanha";16;8;8;9;8;8;11;13;15;12;17;15;17;20
"314870 Pedra Azul";18;16;18;12;11;17;14;18;18;16;19;20;19;15
"314875 Pedra Bonita";1;1;2;2;1;1;1;1;-;-;-;-;-;3
"314880 Pedra do Anta";3;3;5;4;7;8;3;7;8;6;11;12;9;11
"314890 Pedra do Indaiá";6;6;4;4;6;4;5;6;5;5;5;7;6;6
"314900 Pedra Dourada";1;2;2;1;1;1;1;2;-;1;1;1;1;1
"314910 Pedralva";10;10;10;6;4;5;5;5;6;5;4;4;4;3
"314915 Pedras de Maria da Cruz";2;1;-;-;-;-;-;-;-;-;-;-;-;-
"314920 Pedrinópolis";2;3;5;11;6;6;4;3;2;2;2;2;2;4
"314930 Pedro Leopoldo";70;77;86;91;88;88;92;90;89;88;79;68;72;68
"314940 Pedro Teixeira";2;2;2;2;2;1;1;1;1;1;1;1;1;1
"314950 Pequeri";5;5;3;3;5;7;5;5;5;5;7;6;5;6
"314960 Pequi";1;1;1;1;1;1;2;1;1;1;1;1;1;2
"314970 Perdigão";1;1;1;2;2;2;2;2;1;1;2;3;3;6
"314980 Perdizes";4;10;8;8;9;9;10;13;12;15;16;17;16;17
"314990 Perdões";27;28;25;27;23;29;33;35;36;35;34;32;32;38
"314995 Periquito";-;-;-;-;1;-;1;-;-;1;1;1;1;3
"315000 Pescador";-;1;1;-;1;1;1;1;-;1;1;1;1;1
"315010 Piau";3;3;3;4;4;2;2;-;2;2;4;3;2;2
"315015 Piedade de Caratinga";1;-;2;4;5;7;6;6;6;2;4;1;1;4
"315020 Piedade de Ponte Nova";3;3;2;1;1;-;1;1;-;-;-;-;-;-
"315030 Piedade do Rio Grande";4;7;4;6;3;3;5;5;6;3;4;6;7;7
"315040 Piedade dos Gerais";1;1;-;-;-;-;-;1;1;1;1;1;1;2
"315050 Pimenta";7;7;8;8;5;5;6;5;4;4;4;4;4;4
"315053 Pingo-d'Água";1;1;1;1;1;1;1;1;1;1;1;1;1;3
"315057 Pintópolis";-;-;-;-;-;-;2;1;-;-;-;-;-;1
"315060 Piracema";5;-;2;4;3;3;2;2;1;1;2;2;2;3
"315070 Pirajuba";9;5;6;4;7;7;5;6;7;7;7;9;9;9
"315080 Piranga";9;8;11;3;3;4;8;5;5;5;6;6;5;5
"315090 Piranguçu";1;1;1;1;1;1;1;1;1;4;4;2;2;3
"315100 Piranguinho";3;2;1;2;1;2;3;2;2;2;3;5;7;6
"315110 Pirapetinga";10;9;6;7;6;6;9;10;8;6;4;8;9;11
"315120 Pirapora";24;30;33;34;35;42;42;39;44;42;45;46;50;52
"315130 Piraúba";19;14;9;11;9;9;9;4;5;5;5;5;3;3
"315140 Pitangui";31;35;35;36;36;32;30;32;32;32;28;33;32;33
"315150 Piumhi";45;43;41;45;45;48;49;52;54;55;58;67;78;81
"315160 Planura";10;9;15;12;4;2;2;1;1;2;3;8;14;24
"315170 Poço Fundo";14;14;15;18;14;16;16;13;12;16;12;15;20;21
"315180 Poços de Caldas";267;310;329;319;318;329;329;346;323;329;333;343;372;376
"315190 Pocrane";5;3;4;6;4;3;4;3;2;2;4;3;3;5
"315200 Pompéu";16;13;16;19;18;20;16;14;13;18;16;22;21;30
"315210 Ponte Nova";78;88;139;143;143;144;157;178;176;171;167;181;145;153
"315213 Ponto Chique";3;3;-;1;1;1;1;1;-;-;-;1;1;3
"315217 Ponto dos Volantes";-;-;-;-;5;2;1;2;1;1;5;3;6;7
"315220 Porteirinha";4;6;6;6;7;6;10;10;10;16;14;14;13;14
"315230 Porto Firme";2;2;4;4;3;3;1;1;1;1;1;1;1;2
"315240 Poté";7;6;5;7;9;9;10;11;11;9;9;9;6;10
"315250 Pouso Alegre";108;121;126;132;126;125;133;146;153;186;189;204;232;242
"315260 Pouso Alto";5;5;5;3;7;7;5;2;5;6;11;13;10;11
"315270 Prados";5;3;3;2;3;3;4;6;7;6;7;6;7;6
"315280 Prata";29;31;31;30;42;45;39;37;36;38;39;41;35;40
"315290 Pratápolis";5;5;5;3;3;2;6;8;6;7;6;7;10;11
"315300 Pratinha";1;1;1;1;3;3;4;4;5;5;6;4;6;7
"315310 Presidente Bernardes";4;3;3;3;3;4;4;4;3;6;3;2;4;4
"315320 Presidente Juscelino";1;1;1;1;1;-;-;-;-;-;-;-;-;-
"315330 Presidente Kubitschek";2;2;1;1;2;2;1;1;1;-;1;1;1;3
"315340 Presidente Olegário";3;3;8;9;10;4;6;6;8;10;9;14;20;19
"315360 Prudente de Morais";8;8;7;8;7;7;4;6;4;4;9;6;7;5
"315370 Quartel Geral";1;1;1;1;1;1;1;1;1;1;2;1;1;3
"315380 Queluzito";1;1;2;2;3;3;1;1;1;1;1;1;1;1
"315390 Raposos";8;10;9;9;16;12;14;18;13;15;9;21;16;15
"315400 Raul Soares";35;33;32;31;26;26;24;23;26;30;25;26;26;29
"315410 Recreio";8;22;22;22;20;19;20;21;18;16;16;15;14;13
"315415 Reduto";3;3;4;7;-;-;3;2;2;2;3;2;2;2
"315420 Resende Costa";8;8;8;9;8;7;7;7;7;17;14;15;17;19
"315430 Resplendor";13;14;15;15;15;14;17;18;23;19;21;22;23;16
"315440 Ressaquinha";1;1;1;1;1;2;2;1;3;2;2;1;6;11
"315445 Riachinho";4;7;6;6;4;4;4;4;5;4;3;3;2;4
"315450 Riacho dos Machados";3;1;1;2;2;2;3;1;1;-;-;-;-;-
"315460 Ribeirão das Neves";134;105;98;117;116;113;95;95;103;106;179;91;118;115
"315470 Ribeirão Vermelho";7;8;8;7;6;5;5;5;5;5;5;6;6;6
"315480 Rio Acima";17;13;8;12;16;19;9;8;7;6;11;10;9;22
"315490 Rio Casca";16;15;13;20;17;18;19;21;19;19;18;15;18;18
