CNES - Recursos Humanos - Ocupações - segundo CBO 2002 - Brasil
Total por Município e Ano/mês compet.
Profissionais selecionados: .. Clínico Geral
Período:Dez/2007, Dez/2008, Dez/2009, Dez/2010, Dez/2011, Dez/2012, Dez/2013, Dez/2014, Nov/2015, Dez/2016, Dez/2017, Dez/2018, Dez/2019, Dez/2020
"Município";"2007/Dez";"2008/Dez";"2009/Dez";"2010/Dez";"2011/Dez";"2012/Dez";"2013/Dez";"2014/Dez";"2015/Nov";"2016/Dez";"2017/Dez";"2018/Dez";"2019/Dez";"2020/Dez"
"150740 São Francisco do Pará";1;1;1;2;1;2;2;2;2;2;1;2;2;3
"150745 São Geraldo do Araguaia";2;6;6;13;7;7;9;7;7;4;7;6;8;10
"150746 São João da Ponta";1;1;1;1;3;3;2;2;2;2;1;1;1;1
"150747 São João de Pirabas";9;9;11;15;7;10;5;7;5;5;6;3;3;6
"150750 São João do Araguaia";-;3;3;5;5;2;4;5;3;4;5;3;5;5
"150760 São Miguel do Guamá";9;13;7;14;12;13;12;10;5;11;7;7;13;8
"150770 São Sebastião da Boa Vista";2;4;4;4;6;4;8;7;6;7;4;3;3;4
"150775 Sapucaia";1;3;2;6;4;4;4;2;2;1;3;4;3;4
"150780 Senador José Porfírio";1;1;2;1;3;2;3;4;4;4;4;3;3;4
"150790 Soure";4;2;3;7;5;6;6;7;8;7;8;4;7;10
"150795 Tailândia";11;5;13;12;12;13;15;18;18;23;25;12;19;17
"150796 Terra Alta";3;2;2;2;3;3;2;2;2;3;3;3;2;9
"150797 Terra Santa";2;2;4;2;3;4;5;4;4;5;4;5;4;2
"150800 Tomé-Açu";8;16;11;10;10;8;9;9;12;12;16;16;16;18
"150803 Tracuateua";1;1;1;11;7;7;11;10;10;9;6;7;7;13
"150805 Trairão";4;3;3;2;5;4;4;3;3;3;2;2;5;5
"150808 Tucumã";12;17;18;21;19;21;23;24;30;29;32;24;23;22
"150810 Tucuruí";34;41;42;67;51;55;57;58;67;60;59;57;62;69
"150812 Ulianópolis";3;3;3;9;9;9;10;14;15;15;19;16;15;13
"150815 Uruará";1;8;5;5;5;7;10;5;6;4;10;11;12;13
"150820 Vigia";6;3;5;8;10;7;10;8;8;6;7;7;15;15
"150830 Viseu";3;4;9;8;5;9;8;7;5;5;10;9;9;9
"150835 Vitória do Xingu";-;-;2;4;4;6;10;15;17;22;13;20;13;16
"150840 Xinguara";8;8;12;13;12;9;14;12;13;14;18;17;18;23
"160010 Amapá";1;1;1;1;2;4;1;2;1;3;2;4;2;4
"160020 Calçoene";1;2;7;6;3;2;2;2;2;2;3;2;2;3
"160021 Cutias";-;-;1;1;-;-;1;2;2;2;2;2;1;2
"160023 Ferreira Gomes";1;1;1;2;2;1;2;4;2;1;3;3;3;6
"160025 Itaubal";1;-;-;-;-;-;-;-;-;-;-;-;-;-
"160027 Laranjal do Jari";4;7;8;8;2;5;4;5;8;8;9;11;11;17
"160030 Macapá";191;236;273;315;273;238;206;245;224;251;150;281;261;337
"160040 Mazagão";1;1;2;1;5;4;3;3;4;2;4;4;3;4
"160050 Oiapoque";2;4;6;6;3;2;1;2;2;4;6;7;5;11
"160015 Pedra Branca do Amapari";1;1;1;1;1;4;4;4;4;3;2;1;2;4
"160053 Porto Grande";1;3;5;4;6;5;6;5;5;4;4;9;9;7
"160055 Pracuúba";-;-;-;-;-;-;-;-;-;-;1;-;-;-
"160060 Santana";28;33;32;33;13;17;20;24;27;30;31;30;29;41
"160005 Serra do Navio";1;4;4;2;2;1;2;2;2;2;2;2;2;5
"160070 Tartarugalzinho";1;1;1;1;1;1;3;2;3;2;2;3;3;2
"160080 Vitória do Jari";-;1;1;1;1;1;1;4;4;2;1;2;1;3
"170030 Aguiarnópolis";2;2;1;-;-;-;-;1;1;3;3;2;-;-
"170035 Aliança do Tocantins";4;4;4;2;2;2;2;3;4;1;2;1;2;3
"170040 Almas";-;-;1;2;2;2;1;1;1;1;2;2;2;2
"170070 Alvorada";6;6;4;9;8;8;8;9;9;9;11;12;13;18
"170100 Ananás";4;2;3;4;8;5;2;2;3;3;2;2;4;4
"170110 Aparecida do Rio Negro";2;2;1;1;1;1;1;1;-;1;1;1;1;2
"170130 Aragominas";-;-;-;-;-;-;-;-;-;-;-;-;-;2
"170190 Araguacema";4;3;2;3;1;1;1;2;2;2;5;4;4;4
"170200 Araguaçu";5;6;4;5;8;6;5;4;5;6;7;8;7;7
"170210 Araguaína";96;180;235;249;205;196;242;245;226;274;238;287;285;413
"170215 Araguanã";1;1;1;1;1;1;3;3;1;1;1;-;1;1
"170220 Araguatins";6;5;3;3;2;3;5;5;4;4;6;4;3;7
"170230 Arapoema";6;7;9;9;7;7;10;12;12;9;9;8;11;11
"170240 Arraias";13;14;15;15;15;12;14;17;17;19;17;12;8;12
"170255 Augustinópolis";28;29;37;42;24;17;21;26;24;27;32;30;21;37
"170270 Aurora do Tocantins";1;-;1;1;-;-;-;-;-;-;-;-;-;-
"170290 Axixá do Tocantins";3;3;2;2;2;2;1;1;2;1;1;-;-;1
"170300 Babaçulândia";1;1;2;2;2;2;2;3;4;4;3;2;4;5
